,0,1,2,3,4,5,6,7,8
0,Fiction,Yellowface,R.F. Kuang,Kindle $14.99,3.79,16/05/2023,336,Hardcover,"['British Book Award for Fiction (2024)', ' Audie Award Nominee for Fiction (2024)', ' Los Angeles Times Book Prize Nominee for Audiobook (2023)', ' Goodreads Choice Award for Fiction (2023)', ' New England Book Award for Fiction (2023)', ' She Reads Best of Award for Book of the Year (2023)', ' Barnes & Noble Book of the Year Award Nominee (2023)']"
1,Fiction,Hello Beautiful,Ann Napolitano,Kindle $14.99,4.17,14/03/2023,416,Kindle Edition,"['Goodreads Choice Award Nominee for Fiction (2023)', ' She Reads Best of Award for Literary Fiction and Nominee for Book of the Year (2023)']"
2,Fiction,The Wishing Game,Meg Shaffer,Kindle $12.99,4.10,30/05/2023,304,Hardcover,"['Goodreads Choice Award Nominee for Fiction (2023)', ' Book of the Month Book of the Year Award Nominee (2023)']"
3,Fiction,Tom Lake,Ann Patchett,Kindle $15.99,4.01,01/08/2023,309,Hardcover,"['Audie Award for Fiction and Nominee for Best Fiction Narrator and for Audiobook of the Year (2024)', ' Australian Book Industry Award (ABIA) Nominee for International Book (2024)', ' Goodreads Choice Award Nominee for Fiction (2023)', ' Libby Award Nominee for Best Adult Fiction (2023)']"
4,Fiction,The Five-Star Weekend,Elin Hilderbrand,Kindle $9.99,4.06,13/06/2023,384,Hardcover,['Goodreads Choice Award Nominee for Fiction (2023)']
5,Fiction,Someone Else's Shoes,Jojo Moyes,Kindle $12.99,3.96,02/02/2023,438,Hardcover,['Goodreads Choice Award Nominee for Fiction (2023)']
6,Fiction,The Invisible Hour,Alice Hoffman,Kindle $13.99,3.61,15/08/2023,272,Hardcover,['Goodreads Choice Award Nominee for Fiction (2023)']
7,Fiction,Maame,Jessica George,Kindle Unlimited $0.00,4.07,31/01/2023,320,Hardcover,"['Audie Award Nominee for Fiction (2024)', ' ALA Alex Award (2024)', ' Goodreads Choice Award Nominee for Fiction and for Debut Novel (2023)', ' Book of the Month Book of the Year Award Nominee (2023)']"
8,Fiction,The Collected Regrets of Clover,Mikki Brammer,Kindle Unlimited $0.00,4.17,09/05/2023,314,Hardcover,"['Goodreads Choice Award Nominee for Fiction and for Debut Novel (2023)', ' Book of the Month Book of the Year Award Nominee (2023)']"
9,Fiction,Pineapple Street,Jenny Jackson,Kindle $12.99,3.57,07/03/2023,304,Hardcover,['Goodreads Choice Award Nominee for Fiction and for Debut Novel (2023)']
10,Fiction,Big Swiss,Jen Beagin,Kindle $12.99,3.68,07/02/2023,336,Hardcover,"['Lambda Literary Award Nominee for Lesbian Fiction (2024)', ' Goodreads Choice Award Nominee for Fiction (2023)']"
11,Fiction,Shark Heart: A Love Story,Emily Habeck,Kindle $11.99,4.01,08/08/2023,416,Hardcover,"['Goodreads Choice Award Nominee for Fiction and for Debut Novel (2023)', ' Book of the Month Book of the Year Award Nominee (2023)']"
12,Fiction,Evil Eye,Etaf Rum,Kindle $14.99,3.96,05/09/2023,352,Hardcover,['Goodreads Choice Award Nominee for Fiction (2023)']
13,Fiction,The Celebrants,Steven Rowley,Kindle $12.99,3.64,30/05/2023,320,Hardcover,['Goodreads Choice Award Nominee for Fiction (2023)']
14,Fiction,Birnam Wood,Eleanor Catton,Kindle Unlimited $0.00,3.82,02/03/2023,432,Hardcover,"['Scotiabank Giller Prize Nominee (2023)', ' Orwell Prize Nominee for Political Fiction for Shortlist (2023)', ' Audie Award Nominee for Fiction (2024)', ' Goodreads Choice Award Nominee for Fiction (2023)', ' Ockham New Zealand Book Awards Nominee for Jann Medlicott Acorn Prize Fiction (shortlist) (2024)', ' Libby Award Nominee for Best Adult Fiction (2023)', ' Nero Book Award Nominee for Fiction (2023)']"
15,Fiction,The Connellys of County Down,Tracey Lange,Kindle $14.99,3.84,01/08/2023,288,Hardcover,['Goodreads Choice Award Nominee for Fiction (2023)']
16,Fiction,The Bee Sting,Paul Murray,Kindle $14.99,3.98,08/06/2023,656,Hardcover,"['Booker Prize Nominee for Shortlist (2023)', ' Goodreads Choice Award Nominee for Fiction (2023)', "" Writers' Prize Nominee for Fiction (2024)"", ' Nero Book Award for Fiction (2023)']"
17,Fiction,Wellness,Nathan Hill,Kindle $14.99,4.00,26/09/2023,611,Hardcover,"['Goodreads Choice Award Nominee for Fiction (2023)', ' Book of the Month Book of the Year Award Nominee (2023)']"
18,Fiction,Blackouts,Justin Torres,Kindle $14.99,3.78,10/10/2023,306,Hardcover,"['National Book Award for Fiction (2023)', ' California Book Award for Fiction (2023)', ' Los Angeles Times Book Prize Nominee for Fiction (2023)', ' Lambda Literary Award Nominee for Gay Fiction (2024)', ' National Book Critics Circle Award Nominee for Fiction (2023)', ' Goodreads Choice Award Nominee for Fiction (2023)']"
19,Fiction,Family Meal,Bryan Washington,Kindle $14.99,3.57,10/10/2023,320,Hardcover,"['Lambda Literary Award Nominee for Gay Fiction (2024)', ' Goodreads Choice Award Nominee for Fiction (2023)']"
20,Historical,Weyward,Emilia Hart,Kindle $11.99,4.08,02/02/2023,329,Hardcover,"['Goodreads Choice Award for Historical Fiction and for Debut Novel (2023)', ' Book of the Month Book of the Year Award Nominee (2023)']"
